filename,concentration
2024_03_15_CD8_0pt01_500ng_DIA_16mzst_aurora_KBB_02.mzml,0.01
2024_03_15_CD8_0pt0215_500ng_DIA_16mzst_aurora_KBB_02.mzml,0.0215
2024_03_15_CD8_0pt0467_500ng_DIA_16mzst_aurora_KBB_02.mzml,0.0467
2024_03_15_CD8_0pt0_500ng_DIA_16mzst_aurora_KBB_02.mzml,0
2024_03_15_CD8_0pt1_500ng_DIA_16mzst_aurora_KBB_02.mzml,0.1
2024_03_15_CD8_0pt215_500ng_DIA_16mzst_aurora_KBB_02.mzml,0.215
2024_03_15_CD8_0pt467_500ng_DIA_16mzst_aurora_KBB_02.mzml,0.467
2024_03_15_CD8_100pt0_500ng_DIA_16mzst_aurora_KBB_02.mzml,100
2024_03_15_CD8_10pt0_500ng_DIA_16mzst_aurora_KBB_02.mzml,10
2024_03_15_CD8_1pt0_500ng_DIA_16mzst_aurora_KBB_02.mzml,1
2024_03_15_CD8_21pt5_500ng_DIA_16mzst_aurora_KBB_02.mzml,21.5
2024_03_15_CD8_2pt15_500ng_DIA_16mzst_aurora_KBB_02.mzml,2.15
2024_03_15_CD8_46pt7_500ng_DIA_16mzst_aurora_KBB_02.mzml,46.7
2024_03_15_CD8_4pt67_500ng_DIA_16mzst_aurora_KBB_02.mzml,4.67
2024_03_15_CD8_68pt1_500ng_DIA_16mzst_aurora_KBB_02.mzml,68.1
