filename,concentration
230707_AQUA_peptide_HEK_S1_20ng_17min_ultra_R1_Slot2-1_1_662.d,0.00024692
230707_AQUA_peptide_HEK_S1_20ng_17min_ultra_R2_Slot2-1_1_670.d,0.00024692
230707_AQUA_peptide_HEK_S1_20ng_17min_ultra_R3_Slot2-1_1_678.d,0.00024692
230707_AQUA_peptide_HEK_S2_20ng_17min_ultra_R1_Slot2-2_1_663.d,0.00074074
230707_AQUA_peptide_HEK_S2_20ng_17min_ultra_R2_Slot2-2_1_671.d,0.00074074
230707_AQUA_peptide_HEK_S2_20ng_17min_ultra_R3_Slot2-2_1_679.d,0.00074074
230707_AQUA_peptide_HEK_S3_20ng_17min_ultra_R1_Slot2-3_1_664.d,0.00222222
230707_AQUA_peptide_HEK_S3_20ng_17min_ultra_R2_Slot2-3_1_672.d,0.00222222
230707_AQUA_peptide_HEK_S3_20ng_17min_ultra_R3_Slot2-3_1_680.d,0.00222222
230707_AQUA_peptide_HEK_S4_20ng_17min_ultra_R1_Slot2-4_1_665.d,0.00666666
230707_AQUA_peptide_HEK_S4_20ng_17min_ultra_R2_Slot2-4_1_673.d,0.00666666
230707_AQUA_peptide_HEK_S4_20ng_17min_ultra_R3_Slot2-4_1_681.d,0.00666666
230707_AQUA_peptide_HEK_S5_20ng_17min_ulltra_R1_Slot2-5_1_666.d,0.02
230707_AQUA_peptide_HEK_S5_20ng_17min_ulltra_R2_Slot2-5_1_674.d,0.02
230707_AQUA_peptide_HEK_S5_20ng_17min_ulltra_R3_Slot2-5_1_682.d,0.02
